school	curric	mathatt2	sex	eg	mathatt1
1	328.2	28	1	0	18
1	406.03	56	0	0	22
1	386.94	51	0	0	44
1	166.91	13	0	0	8
1	328.2	39	0	0	20
1	328.2	41	0	1	12
1	160.28	30	0	0	16
1	94.94	13	1	0	5
1	98.2	17	1	1	9
1	331.62	32	0	0	18
1	328.2	32	1	1	20
1	191.36	46	0	0	30
1	191.36	37	0	0	10
1	191.36	36	0	0	16
2	211.11	27	0	0	14
2	131.25	23	0	0	14
2	131.25	23	0	1	9
2	203.54	44	0	0	24
2	211.11	17	1	1	8
2	44.72	23	0	0	5
2	135.08	17	0	1	10
2	150.39	27	0	0	13
2	85.26	21	1	1	7
3	129.82	18	1	0	14
3	187.43	47	0	0	21
3	129.82	21	1	0	4
3	144.25	34	0	0	16
3	141.15	26	1	0	12
3	115.47	16	1	1	10
3	129.82	27	0	1	16
3	155.67	23	1	0	11
3	187.43	35	1	1	16
3	141.15	31	0	1	16
3	189.14	20	0	1	14
3	187.43	23	1	0	12
3	187.43	37	1	0	29
3	189.68	31	0	0	25
3	183.61	19	1	0	16
3	129.82	21	1	0	15
